,Year,Place of Info Breach,Method of Breach,Type of Breach,Name of Business,Organization Type,Summary of Events,Individuals Affected
2967,2010,Network Server,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"The covered entity's (CE) business associate (BA), Professional Transcription Company, posted the electronic protected health information (ePHI) of 1,744 individuals on a website portal of the BA.  The ePHI included names, dates of birth, diagnosis, and other clinical information.  Upon discovery of the breach, the BA shut down the applicable server.  The CE, Newark Beth Israel Medical Center, provided breach notification to HHS, the media, and affected individuals and also posted substitute notice on its website.  As a result of OCR's investigation, the BA located the ePHI online and contacted Google to block files that contained ePHI.  In addition, the BA retrained all employees regarding its security policies.  The CE terminated its BA agreement with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",1744
2969,2010,Network Server,lost / stolen media,Theft,JP Morgan Chase,Financial,"The covered entity's (CE) business associate (BA), Professional Transcription Company, posted the electronic protected health information (ePHI) of 1,744 individuals on a website portal of the BA.  The ePHI included names, dates of birth, diagnosis, and other clinical information.  Upon discovery of the breach, the BA shut down the applicable server.  The CE, Newark Beth Israel Medical Center, provided breach notification to HHS, the media, and affected individuals and also posted substitute notice on its website.  As a result of OCR's investigation, the BA located the ePHI online and contacted Google to block files that contained ePHI.  In addition, the BA retrained all employees regarding its security policies.  The CE terminated its BA agreement with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",1744
2984,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,771
2987,2010,Paper,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,771
2989,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,771
3004,2010,Paper,lost / stolen media,"Theft, Loss, Improper Disposal",Educational Credit Management Corporation,Financial,,1950
3007,2010,Paper,hacked,"Theft, Loss, Improper Disposal",Federal Reserve Bank of Cleveland,Financial,,1950
3009,2010,Paper,lost / stolen media,"Theft, Loss, Improper Disposal",JP Morgan Chase,Financial,,1950
3024,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,613
3027,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,613
3029,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,613
3044,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop.",542
3047,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop.",542
3049,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop.",542
3064,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,"A programming error in a business associate's IT system caused the PHI of patients to be printed on letters sent to other patients. The printing error affected approximately 9475 individuals.The protected health information involved in the breach included patient names, medical record numbers and account balances. Following the discovery of the breach, the BA corrected the programming error and implemented additional quality checks. Additionally, the BA notified the affected individuals and the CE notified the local media.  

",9475
3067,2010,Paper,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,"A programming error in a business associate's IT system caused the PHI of patients to be printed on letters sent to other patients. The printing error affected approximately 9475 individuals.The protected health information involved in the breach included patient names, medical record numbers and account balances. Following the discovery of the breach, the BA corrected the programming error and implemented additional quality checks. Additionally, the BA notified the affected individuals and the CE notified the local media.  

",9475
3069,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,"A programming error in a business associate's IT system caused the PHI of patients to be printed on letters sent to other patients. The printing error affected approximately 9475 individuals.The protected health information involved in the breach included patient names, medical record numbers and account balances. Following the discovery of the breach, the BA corrected the programming error and implemented additional quality checks. Additionally, the BA notified the affected individuals and the CE notified the local media.  

",9475
3084,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,800
3087,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,800
3089,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,800
3104,2010,Desktop Computer,lost / stolen media,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Educational Credit Management Corporation,Financial,,1000
3107,2010,Desktop Computer,hacked,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Federal Reserve Bank of Cleveland,Financial,,1000
3109,2010,Desktop Computer,lost / stolen media,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",JP Morgan Chase,Financial,,1000
3124,2010,Desktop Computer,lost / stolen media,Hacking/IT Incident,Educational Credit Management Corporation,Financial,,1000
3127,2010,Desktop Computer,hacked,Hacking/IT Incident,Federal Reserve Bank of Cleveland,Financial,,1000
3129,2010,Desktop Computer,lost / stolen media,Hacking/IT Incident,JP Morgan Chase,Financial,,1000
3144,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,556
3147,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,556
3149,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,556
3164,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,3288
3167,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,3288
3169,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,3288
3184,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,1250
3187,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,1250
3189,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,,1250
3204,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,585
3207,2010,Other,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,585
3209,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,585
3224,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,757
3227,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,757
3229,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,757
3244,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,3159
3247,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,3159
3249,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,3159
3264,2010,E-mail,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,2928
3267,2010,E-mail,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,2928
3269,2010,E-mail,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,2928
3284,2010,Other Portable Electronic Device,lost / stolen media,"Theft, Loss",Educational Credit Management Corporation,Financial,,24600
3287,2010,Other Portable Electronic Device,hacked,"Theft, Loss",Federal Reserve Bank of Cleveland,Financial,,24600
3289,2010,Other Portable Electronic Device,lost / stolen media,"Theft, Loss",JP Morgan Chase,Financial,,24600
3304,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,800
3307,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,800
3309,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,,800
3324,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,2000
3327,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,2000
3329,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,,2000
3344,2010,Other Portable Electronic Device,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,808
3347,2010,Other Portable Electronic Device,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,808
3349,2010,Other Portable Electronic Device,lost / stolen media,Loss,JP Morgan Chase,Financial,,808
3364,2010,Network Server,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"The covered entity's (CE) network server, containing the electronic protected health information (ePHI) of 136,000 patients, was hacked.  The types of ePHI involved in the breach were demographic and clinical information, including diagnoses and other treatment data.  Following the breach, the CE hired a third party vendor to resolve a data crash and to create a data back-up plan in order to restore office functioning.  To implement adequate safeguards, the CE also employed a cloud service with increased security as the new network server.  Additionally, the CE contacted the local FBI office to assist with the CE's internal investigation of the breach and provided breach notification to all affected individuals, the media, and HHS.  As a result of OCR's investigation, the CE developed and implemented new protocols to comply with the Security Rule.  In addition, the CE provided and initiated new trainings for its staff, completed hiring of a new network vendor, implemented a new electronic health records system, and accounted for the disclosures in the affected individuals' medical records.",156000
3367,2010,Network Server,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"The covered entity's (CE) network server, containing the electronic protected health information (ePHI) of 136,000 patients, was hacked.  The types of ePHI involved in the breach were demographic and clinical information, including diagnoses and other treatment data.  Following the breach, the CE hired a third party vendor to resolve a data crash and to create a data back-up plan in order to restore office functioning.  To implement adequate safeguards, the CE also employed a cloud service with increased security as the new network server.  Additionally, the CE contacted the local FBI office to assist with the CE's internal investigation of the breach and provided breach notification to all affected individuals, the media, and HHS.  As a result of OCR's investigation, the CE developed and implemented new protocols to comply with the Security Rule.  In addition, the CE provided and initiated new trainings for its staff, completed hiring of a new network vendor, implemented a new electronic health records system, and accounted for the disclosures in the affected individuals' medical records.",156000
3369,2010,Network Server,lost / stolen media,Theft,JP Morgan Chase,Financial,"The covered entity's (CE) network server, containing the electronic protected health information (ePHI) of 136,000 patients, was hacked.  The types of ePHI involved in the breach were demographic and clinical information, including diagnoses and other treatment data.  Following the breach, the CE hired a third party vendor to resolve a data crash and to create a data back-up plan in order to restore office functioning.  To implement adequate safeguards, the CE also employed a cloud service with increased security as the new network server.  Additionally, the CE contacted the local FBI office to assist with the CE's internal investigation of the breach and provided breach notification to all affected individuals, the media, and HHS.  As a result of OCR's investigation, the CE developed and implemented new protocols to comply with the Security Rule.  In addition, the CE provided and initiated new trainings for its staff, completed hiring of a new network vendor, implemented a new electronic health records system, and accounted for the disclosures in the affected individuals' medical records.",156000
3384,2010,Network Server,lost / stolen media,Hacking/IT Incident,Educational Credit Management Corporation,Financial,,231400
3387,2010,Network Server,hacked,Hacking/IT Incident,Federal Reserve Bank of Cleveland,Financial,,231400
3389,2010,Network Server,lost / stolen media,Hacking/IT Incident,JP Morgan Chase,Financial,,231400
3404,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,2200
3407,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,2200
3409,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,2200
3424,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,11982
3427,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,11982
3429,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,11982
3444,2010,Network Server,lost / stolen media,Hacking/IT Incident,Educational Credit Management Corporation,Financial,,1848
3447,2010,Network Server,hacked,Hacking/IT Incident,Federal Reserve Bank of Cleveland,Financial,,1848
3449,2010,Network Server,lost / stolen media,Hacking/IT Incident,JP Morgan Chase,Financial,,1848
3464,2010,Other Portable Electronic Device,lost / stolen media,"Theft, Loss",Educational Credit Management Corporation,Financial,,9922
3467,2010,Other Portable Electronic Device,hacked,"Theft, Loss",Federal Reserve Bank of Cleveland,Financial,,9922
3469,2010,Other Portable Electronic Device,lost / stolen media,"Theft, Loss",JP Morgan Chase,Financial,,9922
3484,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,1250
3487,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,1250
3489,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,1250
3504,2010,Desktop Computer,lost / stolen media,Hacking/IT Incident,Educational Credit Management Corporation,Financial,,5596
3507,2010,Desktop Computer,hacked,Hacking/IT Incident,Federal Reserve Bank of Cleveland,Financial,,5596
3509,2010,Desktop Computer,lost / stolen media,Hacking/IT Incident,JP Morgan Chase,Financial,,5596
3524,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,656
3527,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,656
3529,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,656
3544,2010,Other Portable Electronic Device,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,16200
3547,2010,Other Portable Electronic Device,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,16200
3549,2010,Other Portable Electronic Device,lost / stolen media,Loss,JP Morgan Chase,Financial,,16200
3564,2010,Other,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"Two diskettes containing the electronic protected health information (ePHI) of approximately 4,754 individuals were lost by the Covered Entity's (CE) Business Associate (BA) after the package containing the diskettes was damaged by the mail carrier.  Although one of the diskettes was eventually found, the other diskette was never recovered.  The ePHI on the diskettes included names, addresses, dates of birth, social security numbers, and clinical information.  Upon discovery of the breach, the CE obtained a copy of the information contained on the diskettes and notified all affected individuals, OCR and the media.  Following OCR's investigation, the CE terminated its contract with the BA involved in the incident and provided evidence of the assurances in its BA agreement pertaining to the return or destruction of ePHI.  Lastly, the CE entered an accounting of disclosures for each affected individual into its electronic database.",4800
3567,2010,Other,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"Two diskettes containing the electronic protected health information (ePHI) of approximately 4,754 individuals were lost by the Covered Entity's (CE) Business Associate (BA) after the package containing the diskettes was damaged by the mail carrier.  Although one of the diskettes was eventually found, the other diskette was never recovered.  The ePHI on the diskettes included names, addresses, dates of birth, social security numbers, and clinical information.  Upon discovery of the breach, the CE obtained a copy of the information contained on the diskettes and notified all affected individuals, OCR and the media.  Following OCR's investigation, the CE terminated its contract with the BA involved in the incident and provided evidence of the assurances in its BA agreement pertaining to the return or destruction of ePHI.  Lastly, the CE entered an accounting of disclosures for each affected individual into its electronic database.",4800
3569,2010,Other,lost / stolen media,Theft,JP Morgan Chase,Financial,"Two diskettes containing the electronic protected health information (ePHI) of approximately 4,754 individuals were lost by the Covered Entity's (CE) Business Associate (BA) after the package containing the diskettes was damaged by the mail carrier.  Although one of the diskettes was eventually found, the other diskette was never recovered.  The ePHI on the diskettes included names, addresses, dates of birth, social security numbers, and clinical information.  Upon discovery of the breach, the CE obtained a copy of the information contained on the diskettes and notified all affected individuals, OCR and the media.  Following OCR's investigation, the CE terminated its contract with the BA involved in the incident and provided evidence of the assurances in its BA agreement pertaining to the return or destruction of ePHI.  Lastly, the CE entered an accounting of disclosures for each affected individual into its electronic database.",4800
3584,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,12009
3587,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,12009
3589,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,,12009
3604,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"An unencrypted laptop was stolen from an employee offsite.  The laptop contained the PHI of 4,486 patients. The protected health information involved in the breach contained names, addresses and procedure codes. Following the breach, the CE filed a police report, notified affected patients and notified the media. Following the discovery of the breach, the covered entity encrypted all existing laptops and implemented a policy requiring all future purchased laptops to be encrypted prior to being issued for use.  

",4486
3607,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"An unencrypted laptop was stolen from an employee offsite.  The laptop contained the PHI of 4,486 patients. The protected health information involved in the breach contained names, addresses and procedure codes. Following the breach, the CE filed a police report, notified affected patients and notified the media. Following the discovery of the breach, the covered entity encrypted all existing laptops and implemented a policy requiring all future purchased laptops to be encrypted prior to being issued for use.  

",4486
3609,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"An unencrypted laptop was stolen from an employee offsite.  The laptop contained the PHI of 4,486 patients. The protected health information involved in the breach contained names, addresses and procedure codes. Following the breach, the CE filed a police report, notified affected patients and notified the media. Following the discovery of the breach, the covered entity encrypted all existing laptops and implemented a policy requiring all future purchased laptops to be encrypted prior to being issued for use.  

",4486
3624,2010,Other Portable Electronic Device,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"A portable ultrasound machine containing electronic protected health information (ePHI) of approximately 8,241 individuals was stolen from the covered entity's (CE) facility.  The ePHI involved in the breach included patient names, dates of birth, and limited health information.  Upon discovery of the breach, the CE conducted a privacy and security assessment of its portable machines to identify vulnerabilities.  Following OCR's investigation, the CE updated its privacy and security policies, retrained its employees, and increased physical security to ensure reasonable safeguards.",8241
3627,2010,Other Portable Electronic Device,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"A portable ultrasound machine containing electronic protected health information (ePHI) of approximately 8,241 individuals was stolen from the covered entity's (CE) facility.  The ePHI involved in the breach included patient names, dates of birth, and limited health information.  Upon discovery of the breach, the CE conducted a privacy and security assessment of its portable machines to identify vulnerabilities.  Following OCR's investigation, the CE updated its privacy and security policies, retrained its employees, and increased physical security to ensure reasonable safeguards.",8241
3629,2010,Other Portable Electronic Device,lost / stolen media,Theft,JP Morgan Chase,Financial,"A portable ultrasound machine containing electronic protected health information (ePHI) of approximately 8,241 individuals was stolen from the covered entity's (CE) facility.  The ePHI involved in the breach included patient names, dates of birth, and limited health information.  Upon discovery of the breach, the CE conducted a privacy and security assessment of its portable machines to identify vulnerabilities.  Following OCR's investigation, the CE updated its privacy and security policies, retrained its employees, and increased physical security to ensure reasonable safeguards.",8241
3644,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,500
3647,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,500
3649,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,500
3664,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,546
3667,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,546
3669,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,,546
3684,2010,Desktop Computer,lost / stolen media,Hacking/IT Incident,Educational Credit Management Corporation,Financial,,800
3687,2010,Desktop Computer,hacked,Hacking/IT Incident,Federal Reserve Bank of Cleveland,Financial,,800
3689,2010,Desktop Computer,lost / stolen media,Hacking/IT Incident,JP Morgan Chase,Financial,,800
3704,2010,Other,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"Unencrypted clinical system backup tapes that contained the electronic protected health information (ePHI) of 1,700,000 individuals were stolen from the unlocked vehicle of an employee of the covered entity's (CE) business associate (BA).  The ePHI included names, medical record numbers, social security numbers, addresses, telephone numbers, health plan numbers, dates of birth, dates of admission, dates of treatment, dates of discharge, dates of death, mother's name, next of kin, clinical information related to diagnosis, treatment, prognosis, laboratory tests and results, and medications.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE terminated its BA agreement and installed encryption software on backup media.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",1700000
3707,2010,Other,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"Unencrypted clinical system backup tapes that contained the electronic protected health information (ePHI) of 1,700,000 individuals were stolen from the unlocked vehicle of an employee of the covered entity's (CE) business associate (BA).  The ePHI included names, medical record numbers, social security numbers, addresses, telephone numbers, health plan numbers, dates of birth, dates of admission, dates of treatment, dates of discharge, dates of death, mother's name, next of kin, clinical information related to diagnosis, treatment, prognosis, laboratory tests and results, and medications.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE terminated its BA agreement and installed encryption software on backup media.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",1700000
3709,2010,Other,lost / stolen media,Theft,JP Morgan Chase,Financial,"Unencrypted clinical system backup tapes that contained the electronic protected health information (ePHI) of 1,700,000 individuals were stolen from the unlocked vehicle of an employee of the covered entity's (CE) business associate (BA).  The ePHI included names, medical record numbers, social security numbers, addresses, telephone numbers, health plan numbers, dates of birth, dates of admission, dates of treatment, dates of discharge, dates of death, mother's name, next of kin, clinical information related to diagnosis, treatment, prognosis, laboratory tests and results, and medications.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE terminated its BA agreement and installed encryption software on backup media.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",1700000
3724,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,2250
3727,2010,Other,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,2250
3729,2010,Other,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,2250
3744,2010,Other Portable Electronic Device,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,2291
3747,2010,Other Portable Electronic Device,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,2291
3749,2010,Other Portable Electronic Device,lost / stolen media,Loss,JP Morgan Chase,Financial,,2291
3764,2010,Desktop Computer,lost / stolen media,Unknown,Educational Credit Management Corporation,Financial,,2621
3767,2010,Desktop Computer,hacked,Unknown,Federal Reserve Bank of Cleveland,Financial,,2621
3769,2010,Desktop Computer,lost / stolen media,Unknown,JP Morgan Chase,Financial,,2621
3784,2010,Paper,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"OCR opened an investigation of the covered entity (CE), Preferred Health Partners f/k/a Central Brooklyn Medical Group, after it reported appointment schedules, pathology reports and portions of medical records containing the protected health information (PHI) of 500 individuals were stolen from an office.  The PHI included names, ages, telephone numbers, social security numbers, medical insurance information, pathology reports, and other clinical information.  Upon discovery of the breach, the CE filed a police report and worked with law enforcement authorities to recover as much of the PHI as possible that was stolen.  As a result of OCR's investigation, the CE removed PHI such as social security or medical insurance numbers from tracking logs.  In addition, the CE improved safeguards by storing log binders in a locked area and shredding documents regularly.  Further, the CE replaced the manual process of printing certain records with an electronic verification system.  The CE also archived, stored off site, and locked up all paper records and retrained all staff on its HIPAA policies and procedures. ",500
3787,2010,Paper,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"OCR opened an investigation of the covered entity (CE), Preferred Health Partners f/k/a Central Brooklyn Medical Group, after it reported appointment schedules, pathology reports and portions of medical records containing the protected health information (PHI) of 500 individuals were stolen from an office.  The PHI included names, ages, telephone numbers, social security numbers, medical insurance information, pathology reports, and other clinical information.  Upon discovery of the breach, the CE filed a police report and worked with law enforcement authorities to recover as much of the PHI as possible that was stolen.  As a result of OCR's investigation, the CE removed PHI such as social security or medical insurance numbers from tracking logs.  In addition, the CE improved safeguards by storing log binders in a locked area and shredding documents regularly.  Further, the CE replaced the manual process of printing certain records with an electronic verification system.  The CE also archived, stored off site, and locked up all paper records and retrained all staff on its HIPAA policies and procedures. ",500
3789,2010,Paper,lost / stolen media,Theft,JP Morgan Chase,Financial,"OCR opened an investigation of the covered entity (CE), Preferred Health Partners f/k/a Central Brooklyn Medical Group, after it reported appointment schedules, pathology reports and portions of medical records containing the protected health information (PHI) of 500 individuals were stolen from an office.  The PHI included names, ages, telephone numbers, social security numbers, medical insurance information, pathology reports, and other clinical information.  Upon discovery of the breach, the CE filed a police report and worked with law enforcement authorities to recover as much of the PHI as possible that was stolen.  As a result of OCR's investigation, the CE removed PHI such as social security or medical insurance numbers from tracking logs.  In addition, the CE improved safeguards by storing log binders in a locked area and shredding documents regularly.  Further, the CE replaced the manual process of printing certain records with an electronic verification system.  The CE also archived, stored off site, and locked up all paper records and retrained all staff on its HIPAA policies and procedures. ",500
3804,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,4500
3807,2010,Paper,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,4500
3809,2010,Paper,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,4500
3824,2010,Other,lost / stolen media,Unknown,Educational Credit Management Corporation,Financial,,7366
3827,2010,Other,hacked,Unknown,Federal Reserve Bank of Cleveland,Financial,,7366
3829,2010,Other,lost / stolen media,Unknown,JP Morgan Chase,Financial,,7366
3844,2010,Desktop Computer,lost / stolen media,Unauthorized Access/Disclosure,Educational Credit Management Corporation,Financial,,942
3847,2010,Desktop Computer,hacked,Unauthorized Access/Disclosure,Federal Reserve Bank of Cleveland,Financial,,942
3849,2010,Desktop Computer,lost / stolen media,Unauthorized Access/Disclosure,JP Morgan Chase,Financial,,942
3864,2010,Desktop Computer,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,600
3867,2010,Desktop Computer,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,600
3869,2010,Desktop Computer,lost / stolen media,Loss,JP Morgan Chase,Financial,,600
3884,2010,Electronic Medical Record,lost / stolen media,Unknown,Educational Credit Management Corporation,Financial,"The IT department turned on the switch to a BA HIE without notifying patients of the exchange or obtaining authorization.  The interface transmitted the PHI of 654 individuals. The PHI disclosed included patient names, addresses, dates of birth, social security numbers, other identifiers, diagnosis/conditions, medications, lab results, other treatment information and financial information. Following the breach, the CE revised the IT process, created a checklist that included notifying the affected departments and provided  additional training to IT and registration employees.  

",654
3887,2010,Electronic Medical Record,hacked,Unknown,Federal Reserve Bank of Cleveland,Financial,"The IT department turned on the switch to a BA HIE without notifying patients of the exchange or obtaining authorization.  The interface transmitted the PHI of 654 individuals. The PHI disclosed included patient names, addresses, dates of birth, social security numbers, other identifiers, diagnosis/conditions, medications, lab results, other treatment information and financial information. Following the breach, the CE revised the IT process, created a checklist that included notifying the affected departments and provided  additional training to IT and registration employees.  

",654
